,Object Number,image_path,Culture Area,Culture,Date Made,Description,Materials,Object Title,Period,Provenience,Section
16523,38499,images/477432_800.jpg,Southwest Culture Area,Navajo,ca. 1860,"Blanket dress made from two pieces loosely woven together with brown thread. Black central area with thick bands of red at the top and bottom ends. The red sections have thin bands of black and blue and a zigzag, stepped line in black. Blue weft selvedges and blue warp selvedges with some yellow visible underneath. Each corner of the two pieces has a tassel in blue and black, giving the dress eight tassels. Torn from edge near one corner and a repaired tear slightly in from that same corner. Two large soiled areas.",Homespun Wool | Natural Dye,Blanket Dress,Mousterian,Arizona | New Mexico,American
16529,66-34-58,images/514806_800.jpg,Central American,Guatemalan,1960's,"Plain weave white cotton cloth; heavily embroidered, predominately red with lesser amounts of yellow and green thread in geometric designs.",Cotton,Sleeves,Geometric Period,Guatemala | Nahuala | Department of Solola,American
16536,89-13-375,images/132981_800.jpg,Great Plains Culture Area,Indian,20th Century,"Wall hanging made of undyed plain-weave cotton embroidered with dyed cotton thread. Design is drawn on first. This can be seen especially on the prongs above the triangle tips on the outer border, which are left unstitched. Embroidered in herringbone stitch without an outline stitch; chain stitch is used for linework. Mutliple backing fabrics are stitched together using ladder stitch. Backing is original (embroidery is stitched through). All fabrics are plain-weave cotton—two sections are quite threadbare. The main backing fabric is currently tan (may have lost color) and has a faint pattern of fixed (yellow and green -- green only seems achievable with synthetic) and repelled motifs (white) to form a diamond lattice design with flowers and diamonds in alternating colors. The other two patterned fabrics are red: one is red with pink dots, yellow flowers, small white flowers, and green dots; the other is red with pink dots and yellow, white, and green bandhani work (thin strip at the border). These look roller-printed.",Cotton,Wall Hanging,20th Century,India,Asian
16548,CG231288-2450B,images/27467_800.jpg,Northwest Coast Culture Area,Tlingit (uncertain),One,Raw materials used for basketry. Includes bundles of spruce root fibers.,Spruce Root,Raw Material,Iron Age | Hallstatt I | Bylany Phase,United States of America | Alaska,American
16561,97-84-443,images/708234_800.jpg,Siberia,Eskimo,one,"Blade oval section, finely notched laterally; shank quadrangular section.",Bone,Arrowhead,Mousterian,Siberia | St. Lawrence Bay,American
16565,29736,images/74670_800.jpg,Andean,Inca,half,"Long. Red and white loom pattern, sewed up at both ends. Poorly woven band at each end and knotted together.Long red and white loom patterned textile, sewn shut along the lengthwise direction (web folded in half) with a white whipstitch. Warp ends are also sewn shut with a whipstitch. At each end, there is a long woven band (made from the warp ends?). These are knotted together. Catalogue records identifies this textile as either a ""weaver's back strap"" or ""tump line"". Plain weave. Color(s): Red and white .",Cotton,Backstrap (uncertain),Cypro-Geometric IA,"Peru | Pachacamac | Gravefield I, Oldest Part",American
16567,29-78-612,images/455404_800.jpg,Southwest Culture Area,Protohistoric Hopi,17th century,Small. Jeddito Black-on-Yellow; cracked,Clay,Bowl,Pueblo IV,Northeast Arizona,American
16571,12748,images/530217_800.jpg,Southeast Culture Area,Mound (Culture),one,"Buff ware, smoked. Flat base, flaring side, rounded edge. Large piece missing from side.",Clay,Dish,Mousterian,United States of America | Missouri | Scott County (Missouri) | Mississippi County,American
16572,29-27-1462,images/484299_800.jpg,Southwest Culture Area,Cliffdweller,One,"Black-on-White Ware sherd. Interior undecorated, exterior decorated with unclear solid elements.",Clay | Pigment,Sherd,Iron Age | Hallstatt I | Bylany Phase,Utah | Arizona | Navaho Mountain | Navajo Reservation,American
16578,45-15-132,images/449484_800.jpg,Southwest Culture Area,Pueblo | Tewa (Culture),1890s?,"Globular, straight neck, black ware.",Clay,Jar<br/><br/>Toy,Roman Period,New Mexico | Santa Clara Pueblo,American
16584,30-3-125,images/718168_800.jpg,Subarctic Culture Area,Naskapi | Barren Ground Band,1,Wooden stick bound at one end with hide.,Wood | Hide,Drumstick (uncertain),Late Minoan I,Canada | Northeast Labrador,American
16591,42-1-4,images/447906_800.jpg,Southwest Culture Area,Keresan,two,"Pottery. Slightly concave base, turnip-shaped body, insloping neck. Red bottom. Black and red on white slip in two bands of floral design.",Clay,Olla,Roman Period,New Mexico | Acoma,American
16600,29-27-1016,images/483357_800.jpg,Southwest Culture Area,Cliff Dweller,One,One edge is sharper than the other.,Stone,Knife Blade (uncertain)<br/><br/>Spearhead (uncertain)<br/><br/>Implement,Iron Age | Hallstatt I | Bylany Phase,United States of America | Texas | San Patricio County | Nueces Dam,American
16611,29-43-760,images/461659_800.jpg,Southwest Culture Area,Basket-Maker,One,"Part of bottom of coiled basket, slightly damaged.",Yucca,Basket Bottom,Iron Age | Hallstatt I | Bylany Phase,United States of America | Southeastern Utah | Lost Canyon,American
16612,29-43-759,images/461656_800.jpg,Southwest Culture Area,Basket-Maker,One,"Part of bottom of coiled basket, slightly damaged.",Yucca,Basket Bottom,Iron Age | Hallstatt I | Bylany Phase,United States of America | Southeastern Utah | Lost Canyon,American
16615,29-96-126,images/592964_800.jpg,Great Plains Culture Area,Indian,four,"Orange wool braided rope with green and blue glass beads, embroidered pendant, and four dangles. Possibly for a camel.",Wool | Glass | Silk,Necklace,Geometric Period,India,Asian
16621,97-84-410,images/707610_800.jpg,Siberia,Eskimo,one,Tapering to ends with one perforations.,Bone,Harpoon Foreshaft,Mousterian,Siberia | St. Lawrence Bay,American
16622,97-84-409,images/707609_800.jpg,Siberia,Eskimo,two,Tapering to ends with two perforations.,Bone,Harpoon Head,Roman Period,Siberia | St. Lawrence Bay,American
16636,AF2115,images/836939_800.jpg,West Africa,Edo (Africa),19th century CE,"Double edge dagger, blade tapers to a point,  solid square crosspiece, thin hilt with incised bands, brass half circle pommel.",Copper Alloy | Iron,Dagger,19th Century,Nigeria | Benin Kingdom,African
16639,97-84-1706,images/870886_800.jpg,Great Plains Culture Area,Arapaho,three,"Oval stone head, rawhide lashing and haft covering, three beaded buckskin bands, dark blue and yellow.",Stone | Rawhide | Buckskin | Glass,War Club,Bronze Age,United States of America | Wyoming | Near Wind River,American
16640,97-84-1696,images/858781_800.jpg,Great Plains Culture Area,Crow (Culture),One,"Buck or elk skin. Beaded with horizontal lines. Light and dark blue, green, yellow, red, and white.",Buckskin (uncertain) | Elk Skin (uncertain) | Bead,Bag,Iron Age | Hallstatt I | Bylany Phase,Montana | Little Bighorn River,American
16643,23125,images/449322_800.jpg,Southwest Culture Area,Anasazi,one,Mesa Verde Black/White; handle missing,Clay,Ladle,Mousterian,Colorado | San Juan Area,American
16644,31527A,images/89007_800.jpg,Andean,Inca,1350-1500,fragment of hip band,Wool,Hip Band Fragment,Iron Age | Hallstatt I | Bylany Phase,Peru | Sun Temple | Pachacamac,American
16645,49-26-40,images/492501_800.jpg,Southwest Culture Area,Anasazi | Pueblo,One,"Pinedale Black-on-Red Ware sherd. One side undecorated, the reverse is decorated with parallel line elements.",Clay | Pigment,Sherd,Iron Age | Hallstatt I | Bylany Phase,Arizona | Little Colorado Region,American
16646,49-26-39,images/492498_800.jpg,Southwest Culture Area,Anasazi | Pueblo,One,Pinedale Black-on-Red Ware sherd. One side decorated with wide line elements the reverse is decorated with hatching elements.,Clay | Pigment,Sherd,Iron Age | Hallstatt I | Bylany Phase,Arizona | Little Colorado Region,American
16648,91-36-6,images/512164_800.jpg,Central American,Guatemalan | Cakchiquel,two,"Two cotton panels, each with 4 selvedges, sewn together. Warp stripes: purple, red, dark, medium blue. Each panel has two warp bands in red with supplementary weft brocading of deers, plants, flowers and the names ""ROSA LOPEZ"" and ""ROSA LOPEZ MARTINEZ"". Warp: 90 epi two ply cotton in multi cotton colors. Weft: 32 ppi two single Z-twisted red cotton. Supplementary weft: double-faced in cotton and silk. Made on a backstrap loom.",Cotton | Silk,Utility Cloth<br/><br/>Tzute,Roman Period,Guatemala | San Antonio Aguas Calientes | Department of Sacatepequez,American
16662,NA4953,images/530544_800.jpg,Southeast Culture Area,Mound (Culture),one,"Bowl-shaped: flat base, flaring side. Upper part missing.",Clay,Bowl,Mousterian,United States of America | Mississippi | Adams County (Mississippi) | Natchez (Mississippi),American
16682,31065,images/75824_800.jpg,Andean,Inca,1476-1550 CE,"Deep bowl or 'Cazuela' with a squat-tapering body, no neck/collar, flanged rim, 2 horizontal strap handles on the body, and a flat base. No molded/modeled additions. The vessel is painted with red at the interior and orange on the exterior with a band of geometric design in white, brown, and red around the center of the body. The vessel was likely fired in an oxidizing atmosphere as the ceramic paste is orange in color. The catalogue number is written on the bottom of the base and black ink on the bottom of the base reads: ""31065.""",Pigment | Ceramic,Pot,Iron Age | Hallstatt I | Bylany Phase,Peru | Sun Temple | Pachacamac,American
16684,29-27-1550,images/484448_800.jpg,Southwest Culture Area,Cliffdweller,One,"Black-on-White Ware sherd, undecorated interior and exterior.",Clay | Pigment,Sherd,Iron Age | Hallstatt I | Bylany Phase,Utah | Navaho Mountain | Balanced Rock | Navajo Reservation,American
16685,29-27-1549,images/484446_800.jpg,Southwest Culture Area,Cliffdweller,one,"Black-on-White Ware sherd. Exterior undecorated, interior decorated with wide line and diagonal line elements. Perforation along one edge.",Clay | Pigment,Sherd,Mousterian,Utah | Navaho Mountain | Balanced Rock | Navajo Reservation,American
16687,29-42-164,images/460304_800.jpg,Southwest Culture Area,Cliff Dweller,one,"Bone awl made from a long bone fragment that has been sharpened to a point. Tubular shape, slightly curved. Open at end opposite to the point.",Bone,Awl,Mousterian,United States of America | Southeastern Utah | San Juan Drainage,American
16692,NA9254,images/838579_800.jpg,Northwest Coast Culture Area,Tlingit (uncertain) | Makah (uncertain),21,"Old. Child's size.  Technical notes: twined, close twined, two-strand, three-strand, wrapped weft (""false embroidery""); 14 warps and 21 wefts per square inch. Inverted bottom.",Spruce Root | Grass | Cloth,Berry Basket,Late Minoan I,United States of America | Alaska (uncertain) | Washington (uncertain),American
16693,23202,images/487346_800.jpg,Southwest Culture Area,Cliff Dweller,ca. 3100 BCE,"Mesa Verde Black-on-White Ware sherd. Undecorated on the exterior, decorated with wide line and dot and zig zag elements.",Clay | Pigment,Sherd,Prehistoric,Colorado | San Juan Culture Area,American
16697,97-84-1183,images/871570_800.jpg,Great Plains Culture Area,Sioux,thirteen,"Buch of thirteen hawk feathers, dyed green.",Hawk Feathers,Scalplock Ornament,Hasanlu Period IV,United States of America | South Dakota | White River,American
16701,97-84-1937,images/858246_800.jpg,Great Plains Culture Area,Sioux,two,Buckskin cover painted with figures of warriors on horseback. Grass-covered thong and tinklers ornaments.,Buckskin | Wood | Pigment | Tin | Quill,Tipi Model,Roman Period,United Kingdom | South Dakota | White River,American
16711,30732,images/40171_800.jpg,Andean,Inca,one,"Miniature; Arm holes in upper seamCollection card mentions that this textile is a ""miniature cotton poncho"". This textile does have one seam connecting the piece into a continuous tube. Arm holes and neck aperture are along the top seam. Color(s): White.",Cotton,Poncho,Mousterian,"Peru | Pachacamac | Gravefield I, West Part",American
16712,29732,images/74666_800.jpg,Andean,Inca,half,"Red and white loom pattern in fret design, both ends sewed up, cord run through and left hanging.Long red and white loom patterned textile, sewn shut along the lengthwise direction (web folded in half) with a white running stitch. Warp ends are also sewn shut with a running stitch. At each end, there is a long woven band (made from the warp ends?). T Catalogue records identifies this textile as either a ""weaver's back strap"". Plain weave. Color(s): Red and white .",Cotton,Backstrap (uncertain),Cypro-Geometric IA,"Peru | Pachacamac | Gravefield I, Oldest Part",American
16716,29-43-544,images/457411_800.jpg,Southwest Culture Area,Cliff Dweller,one,Fine twilled woven sandal made of whole yucca leaves with notched and rounded toe.,Yucca,Sandal,Mousterian,United States of America | Southwestern Colorado | Southeastern Utah,American
16720,97-84-1035,images/863958_800.jpg,Great Plains Culture Area,Sioux,two fifths,"Elk skin pouch. Solidly beaded on lower two fifths, dark and light blue, dark green and garnet on white; other face, dark blue, white and garnet on light blue. Ornamental extension of quilled rawhide strips, green, orange, blue, and white on red. Long buckskin fringe.",Elk Skin | Bead | Quill | Tin | Hair,Pipe Bag,Roman Period,United States of America | Montana | Poplar River,American
16721,29-79-94,images/445369_800.jpg,Southwest Culture Area,Protohistoric Hopi,17th century,"Small, Jeddito Black-on-Yellow; repaired",Clay,Olla,Pueblo IV,Northeast Arizona,American
16723,97-563-9319,images/816332_800.jpg,Northeast Culture Area,Woodland,one,Argillaceous material? elongated blade showing some wear; side-notches on one side; opposite corner of straight base broken.,Argillaceous Material,Knife,Mousterian,United States of America | Pennsylvania | Lancaster County (Pennsylvania),American
16726,38-23-124,images/478826_800.jpg,Central American,Huichol,circa 1995,"Interior covered with lacquer and with designs of colored glass beands fastened in bees-wax. Used as offering to gods in ceremonies. Green lacquer. Red, white, and blue beads. Solidly covered. Rosette designs.",Gourd | Bead | Lacquer | Bees-Wax,Votive Bowl,Bronze Age,Mexico (Central America) | Nayarit,American
16736,29-42-324,images/488341_800.jpg,Southwest Culture Area,Cliff Dweller,one,Point with straight edges. Corner notched with a slightly expanding stem and a straight base. Worked bifacially and cutting edges are retouched. White stone.,Stone,Arrowhead,Mousterian,Colorado | Southeastern Utah | Colorado River,American
16740,97-563-4777,images/496766_800.jpg,Great Plains Culture Area,Sioux,one,"Grey chalcedony with white inclusions; stubby teardrop with blunted tip; one edge notched, apparently for use as shaft-scraper.",Chert,Knife,Mousterian,United States of America | Texas | Williamson County (Texas) | Georgetown,American
16741,36726,images/44247_800.jpg,Andean,Inca,2203,"Small, a mate to the plate 36719Plate with a flaring body, no neck/collar, flat rim, no handles, and a flat base. No molded/modeled additions. The plate has two protrusions on either side of the rim and is painted red with a central circle of white outlined in black. The vessel was likely fired in an oxidizing atmosphere as the ceramic paste is orange in color. The catalogue number is written on the bottom of the base and black ink on the bottom of the base reads: ""2203.""",Ceramic,Plate,Iron Age | Hallstatt I | Bylany Phase,Peru | Sun Temple | Pachacamac,American
16744,29-77-998,images/449244_800.jpg,Southwest Culture Area,Prehistoric Pueblo,half,Small. Pinedale Polychrome; Cracked,Clay,Bowl,Cypro-Geometric IA,Arizona | Northeast Arizona,American
16748,38702,images/84828_800.jpg,Southwest Culture Area,Hopi,1973,"A rectangular piece of a wood, tapering slightly toward one end. The tapered end is perforated and a twisted cord is inserted.",Wood | Fiber,Bull Roarer,Late Minoan I,Arizona | Oraibi | Third Mesa,American
16749,38692,images/492717_800.jpg,Southwest Culture Area,Hopi-Tewa,one,"Grooved, stone axe with one rounded head and one flat head. Chipped along the flat head. Highly polished red, brown, and black stone.",Stone,Axe,Mousterian,Arizona | Hano,American
16752,29-44-481,images/460472_800.jpg,Southwest Culture Area,Basket-Maker,One,Curved bone.,Animal Tooth,Awl,Iron Age | Hallstatt I | Bylany Phase,United States of America | Southeastern Utah | Southwest Colorado,American
16756,38-8-30,images/870133_800.jpg,Great Plains Culture Area,Native American,1900-1986,"Navel-cord amulet. Lizard form. Buckskin; back solidly beaded, mottled with median barred stripe, blue and yellow; legs and tail, bead-wrapped, ending in metal cones and dyed feathers.",Buckskin | Bead | Tin | Feather,Umbilical Amulet,Birnirk,Great Plains (Plain),American
16771,29-43-702,images/457942_800.jpg,Southwest Culture Area,Cliff Dweller,one,Part of twilled woven sandal of whole yucca leaves. Edge loop cord tie.,Yucca,Sandal,Mousterian,United States of America | Southwestern Colorado | Southeastern Utah,American
16772,29-43-692,images/457950_800.jpg,Southwest Culture Area,Basket-Maker,One,Decorated cross-woven yucca cord sandals with square heels and buckskin bolster toes. Type III a (Kidder and Guernsey),Yucca,Sandals,Iron Age | Hallstatt I | Bylany Phase,United States of America | Southeastern Utah,American
16773,93-13-197,images/516429_800.jpg,Central American,Guatemalan,1960's,"Diablo. Red face. Carved out eyes and mouth. Horns, eyebrows, moustache and goatee painted black. Very straight nose. Protruding chin. Top of head is lop-sided.",Paint | Wood,Diablo = Devil,Geometric Period,Guatemala,American
16786,NA8890,images/267140_800.jpg,California Culture Area,Pomo,four,"Green, covered with green feathers.",Fiber | Feather | Shell,Basket,Geometric Period,California (State),American
16787,NA8889,images/267147_800.jpg,California Culture Area,Pomo,four,Covered with yellow and green feathers.,Plant Fiber | Feather,Basket,Geometric Period,California (State),American
16796,45-15-96,images/449388_800.jpg,Southwest Culture Area,Pueblo | Keresan,1880-1890,"Lower third, smoky red, shouldered, long sloping neck. Body design consists of undulating line, birds. The main colors are black, red, and yellow on white.",Clay,Olla,Historic,New Mexico | Acoma (uncertain) | Laguna (uncertain),American
16801,66-34-81,images/525023_800.jpg,Central American,Guatemalan | Aguacateca,two,"Hair band made of red, plain weave cotton with white stripes parallel to each selvedge edge. Designs of geometric forms and stylized birds are embroidered in yellow, purple and green silk and cotton thread 7cm in. Both ends are folded into triangles with tassels attached to three corners.As per Sigrid Meier, ""Warp: 76 epi, two singles, Z twist, red and white cotton. Weft: 34 ppi, two singles, Z twist, red cotton. Warp faced plain weave. Brocading is single faced.""",Cotton | Silk,Hair Band<br/><br/>Cinta,Roman Period,Guatemala | Aguacatan | Department of Huehuetenango,American
16802,29-43-734,images/457385_800.jpg,Southwest Culture Area,Cliff Dweller,one,Fragment of cross-woven cord sandal with raised sole.,Yucca,Sandal Fragment,Mousterian,United States of America | Southwestern Colorado | Southeastern Utah,American
16817,36-19-161,images/486711_800.jpg,Southwest Culture Area,Cliff Dweller,one,Mottled red and white flint. Subtriangular with one broken side.,Flint,Blade,Mousterian,New Mexico | Potaler Clovis | Site 6,American
16820,74-24-25,images/872293_800.jpg,Great Plains Culture Area,Oglala,1909,"Beaded bucksin with quilled strips at bottom. The lower portion is completely beaded. The upper half has two vertical bands of bead-work on either side, a beaded border at the opening, and isolated designs in the center (arches, diamonds). Background of white beads, with designs executed in blue, turquoise, green, red, navy and silver beads. There are large symmetrical design units on the lower portion- a different one on each side. The strips on the bottom are wrapped in red porcupine quills, with two cross designs done in pink and blue quills. MacCreight's tag says: ""Red Cloud's pouch, 1909. Sent $20. to Flying Hawk with request for him to go to Red Cloud and try to obtain his pipe and pouch for the collection. He got them both. Very valuable items- pipe is a very old one- a peace pipe smoked in many a war council.",Buckskin | Bead | Quill,Pipe Bag,Roman Period,United States of America | South Dakota | Pine Ridge Reservation,American
16821,NA2330,images/664076_800.jpg,California Culture Area,Pomo,1/3,"For dance. Orange quills, some of which have feathers pointed on either side. Shaped to form diamonds. Two circular beads attached 1/3 of the way in, white and red beads.",Feather Quill | Feather | Shell,Headdress,Late Cypriot IIIA,California (State),American
16822,NA2329,images/153445_800.jpg,Northwest Coast Culture Area,Quileute,3,For dance.,Wood | Rattle | Bead | String,Rattle,Hissar IB,Washington (U. S. State),American
16823,29-27-47,images/481277_800.jpg,Southwest Culture Area,Cliffdweller,One,"Buff Ware sherd, used as smoother. One side undecorated, opposing side has remnants of red slip.",Clay,Sherd,Iron Age | Hallstatt I | Bylany Phase,Utah | Forbidden Canyon | Navajo Reservation,American
16825,45-14-28,images/809107_800.jpg,Northeast Culture Area,Woodland,one,Flint. Straight base; convexly triangular blade with one shoulder.,Flint,Knife,Mousterian,United States of America | Pennsylvania | Monongahela River | Fayette County (Pennsylvania) | Brownsville,American
16827,29-64-109,images/697865_800.jpg,Great Plains Culture Area,Indian,one,"Fine-grained black stone with matt finish; pierced plaque. Standing 6-armed figure; 4 attendants at bottom; 2 seated figures, one on each side, at shoulder height.",Stone,Relief,Mousterian,India,Asian
16829,29873,images/65690_800.jpg,Andean,Inca,One,Brown with red border.Three webs joined down long length (warp direction). One web has a striped border of red and blue. Plant fiber ties in many places. Color(s): Brown with red and blue border stripe along one side.,Wool,Textile Fragment,Iron Age | Hallstatt I | Bylany Phase,Peru | Beneath The Temple | Pachacamac,American
16836,29-42-457,images/488566_800.jpg,Southwest Culture Area,Cliff Dweller,one,Small,Stone,Arrowhead,Mousterian,Colorado | Southeastern Utah,American
16838,29-43-601,images/457744_800.jpg,Southwest Culture Area,Cliff Dweller,one,Fine twilled woven sandal made of whole yucca leaves with notched and rounded toe.,Yucca,Sandal,Mousterian,United States of America | Southeastern Utah,American
16839,29-43-591,images/457957_800.jpg,Southwest Culture Area,Cliff Dweller,one,Edge loop tie. Fine twilled woven sandal made of whole yucca leaves with notched and rounded toe.,Yucca,Sandal,Mousterian,United States of America | Southwestern Colorado | Southeastern Utah,American
16842,29-11-1,images/27198_800.jpg,Northwest Coast Culture Area,Tlingit,three,"Ceremonial feast tray carved from one piece of maple wood. Rectangular shape with sides that slope toward a smaller, rectangular base. The interior is carved in low relief with a design of three bear tracks with a face on each paw. The rim is lined with shells and shell fragments.",Maple Wood | Opercula,Tray,Bronze Age,Alaska | United States of America,American
16843,30-11-1,images/837206_800.jpg,Northwest Coast Culture Area,Tlingit,20,"Cylindrical basket with slightly expanding sides. Made of split roots of the spruce tree, fine weave, natural color. The exterior is covered entirely with straw false embroidery except for the rim and the bottom. The entire design is framed above and below by a purple line. Decorated with upper and lower bands of design in a somewhat cruciform shape with perpendicular extensions at the end of each arm. Most of the cruciform shape is black with the upper and lower perpendiculars in an indiscernible, faded dye. The center of each shape has a lozenge, likely the tadpole pattern or two ""half the head of a salmon berry"" patterns joined with a horizontal line, in orange and black. A similar, smaller lozenge is woven between each cruciform shape in faded dye and orange. Natural Indian dyes.Technical notes: twined, close twined, two-strand, in-between weave (with plain), three-strand, wrapped weft (""false embroidery""). 13 warps, 20 wefts per square inch. Bottom in-between; holes in bottom where cardboard was removed; dark fern on root.",Spruce Root | Grass | Maidenhair Fern,Berry Basket,Middle Aurignacian,United States of America | Alaska,American
16844,EU848E,images/676235_800.jpg,Northeast Culture Area,Paleolithic,6,Original Card:  Flint implements (worked flake) (6) - Racloir. Rhomboidal or oblong.Revised Card: Flint flake - Thin.  Slight incurvation.  Light yellow shiny patination.,Flint,Flake,Paleolithic,England | Kent | Swanscombe | Barnfield Pit,European
16865,29-43-52,images/462967_800.jpg,Southwest Culture Area,Cliff Dweller,one,"Small package of bark, corn husks and rope and twigs wrapped together as some sort of ceremonial offering.",Bark | Corn Husks | Twigs | Rope,Package,Mousterian,Southeastern Utah | Colorado River Region,American
16866,30-43-52,images/458076_800.jpg,Southwest Culture Area,Basket Maker,two,piece of split deer bone,Deer Bone,Deer Bone,Roman Period,United States of America | New Mexico | Eddy County | Anderson Canyon | Near Carlsbad,American
16869,21640,images/729498_800.jpg,Northeast Culture Area,Micmac,One,Circular splint wood fan. White with yellow splints.,Wood,Fan,Iron Age | Hallstatt I | Bylany Phase,Canada | Nova Scotia | Digby,American
16873,97-80-980,images/494779_800.jpg,Southwest Culture Area,Ancestral Pueblo,269,"Broad, convex blade with rounded end. Made from chert or chalcedony.As per ANSP Ledger Remarks ""See Am. Naturalist, Vol. XI (1877) p. 269""",Stone | Chalcedony (uncertain) | Chert (uncertain),Scraper,Mousterian,United States of America | Utah,American
16874,97-80-979,images/494781_800.jpg,Southwest Culture Area,Ancestral Pueblo,one,"Large, rectangular stone axe with no groove. Smooth bit and poll faces. Poll end is flat and bit edge is worn from use. Celt form or made from a celt. Made from an intermediate, igneous rock.",Stone,Hand Axe (uncertain)<br/><br/>Flesher (uncertain),Mousterian,United States of America | Utah,American
16877,NA9446,images/28603_800.jpg,Northwest Coast Culture Area,Tlingit,two,Spoon made from a single piece of carved mountain sheep horn. Deeply concave bowl and slightly concave handle. The end of the handle tapers to a rounded point. Light brown color. Part of a collection of spoons (NA9432 to NA9453).,Mountain Sheep Horn,Spoon,Roman Period,United States of America | Alaska | Haines,American
16878,23356,images/487750_800.jpg,Southwest Culture Area,Cliff Dweller,ca. 3100 BCE,"Chaco Canyon Black-on-White Ware sherd. Exterior undecorated, interior decorated with wave and line elements.",Clay | Pigment,Sherd,Prehistoric,Colorado | San Juan Culture Area,American
16885,86-8-1,images/477021_800.jpg,Southwest Culture Area,Navajo,Early 20Th Century,"Geom Red, Black, White",Wool,Rug,Mousterian,Arizona | New Mexico,American
16893,29-42-812,images/489247_800.jpg,Southwest Culture Area,Cliff Dweller,one,"Small sandstone ball, probably used in a rattle.",Sandstone,Ball,Mousterian,Southeastern Utah | Canyon,American
16916,NA10727,images/339665_800.jpg,Northwest Coast Culture Area,Makah,one,"Twined basket. Tiny bottle shape with lid, dainty, cream and black.",Cedar Bark | Grass,Basket<br/><br/>Basket Lid,Mousterian,Washington (U. S. State),American
16918,87-25-2,images/508486_800.jpg,Central American,Cakchiquel,two,"Cotton huipil of two panels with purple ground. Black, brown and purple embroidery in horizontal bands of bird, plant, geometric and dot designs. Overdyed. Squared neck opening has a purple band sewn on.",Cotton,Blouse<br/><br/>Huipil,Roman Period,Guatemala | Santa Maria De Jesus | Department of Sacatepequez,American
16932,29-78-455,images/444308_800.jpg,Southwest Culture Area,Anasazi,one,Black/White; repaired,Clay,Bowl,Mousterian,Northeast Arizona | Little Colorado Area,American
16939,NA3326B,images/837433_800.jpg,Northwest Coast Culture Area,Tlingit,10,1 of 10.  Circular.  Food tray. Technical notes: twined.,Spruce Root,Mat,Babylonian,Alaska,American
16940,30-30-108,images/497237_800.jpg,Southwest Culture Area,Cliff Dweller,One,Triangular point with slightly excurvate edges. One edge on each side is beveled. Concave base. Worked bifacially and cutting edges are retouched. Light brown and gray stone.,Flint,Arrowhead,Iron Age | Hallstatt I | Bylany Phase,United States of America | Texas | Nueces County,American
16941,NA7964,images/153978_800.jpg,California Culture Area,Mono,19,"Oval shape with two horizontal bands of male friendship figures: 23 figures in the top band, 19 in the bottom.  Made by Mary Buckskin",Sedge | Redbud | Devil's Claw,Basket,9 1/2 mm,California (State),American
16943,97-563-1164,images/810114_800.jpg,Northeast Culture Area,Woodland,two,Slate; with two drilled repair holes.,Slate,Bannerstone Fragment,Roman Period,United States of America | Pennsylvania | Lancaster County (Pennsylvania) | Washington Boro,American
16952,38-6-60,images/103463_800.jpg,Central American,Totonac,600-900AD,"Solid buff ware, archaic and stylized. Seated. Ring base, oval: thin flat body. Hands on knees. Large flat-backed head with slanting face. Eyes incised; nose, mouth, eat discs zodeled or applique. Headdress broken.",Clay,Figurine,Late Classic,Mexico (Central America) | Veracruz (Mexico) | Cempoala | Tetiuca | Hueyapan | Tlapacoya | Tuxtla,American
16953,38-6-59,images/103462_800.jpg,Central American,Totonac,one,"solid buff ware. seated. lower legs coalesced in solid bar. hands on knees. slanting face; nose modeled; applique releif eyes, mouth, ear discs, collar end forehead band. one sing of headdress broken off",Ceramic,Figurine,Mousterian,Mexico (Central America) | Veracruz (Mexico) | Cempoala | Tetiuca | Hueyapan | Tlapacoya | Tuxtla,American
16963,29-59-124,images/162639_800.jpg,Central Africa,Kimbundu,one,"Strip of basketwork, the outer surface completely covered with a row of cowrie shells laid end to end and on each side of them two rows of small black and white beads.  The catch is a loop of string on which is one red band.  ""Bought from laborers who were working on the company's plantation.""",Glass | Shell | Fiber,Necklace,Mousterian,Angola,African
16964,NA3326G,images/836545_800.jpg,Northwest Coast Culture Area,Tlingit,13,"1 of 10.  Circular.  Food tray. Technical Notes: twined, 11 warps and 13 wefts per square inch. Circular tan, red and brown pattern.",Spruce Root,Mat,Minor Dynasty,Alaska,American
16971,NA10646,images/858660_800.jpg,Great Plains Culture Area,Crow (Culture),One,"Buffalo horn, stained red.Hank of twisted black hair is tied on with buckskin. A section of light brown fur.",Buffalo Horn | Hair | Fur,Cup,Iron Age | Hallstatt I | Bylany Phase,Montana,American
16972,NA4268,images/27046_800.jpg,Arctic Culture Area,Eskimo,Two,Jade.  Needle-shaped with eye for thong.,Jade,Needle,Birnirk,United States of America | Alaska,American
16978,29-27-944,images/483187_800.jpg,Southwest Culture Area,Cliff Dweller,4,chipped on 3 out of 4 sides,Chert,Scraper,Upper Paleolithic,United States of America | Texas | Devil's River,American
16981,37435,images/831904_800.jpg,Plateau Culture Area,Klamath | Lutuamian,+ 6/7,"Conical, made from thick fibers. Curved stick forms the rim, tied to the basket with patterned cloth. Carrying rope attached.",Cattail Leaves,Burden Basket,Birnirk,Oregon | Klamath Reservation,American
